[2025-12-23 15:23:33,195][__main__][INFO] - === EMPAS: Sensitivity Profiling ===
[2025-12-23 15:23:42,884][src.models.sensitivity][INFO] - Computing baseline FP16 loss...
[2025-12-23 15:23:43,466][src.models.sensitivity][INFO] - Baseline Loss: 3.3008
[2025-12-23 15:23:43,466][src.models.sensitivity][INFO] - Profiling Layer 0/21...
[2025-12-23 15:23:44,134][src.models.sensitivity][INFO] - Profiling Layer 1/21...
[2025-12-23 15:23:44,532][src.models.sensitivity][INFO] - Profiling Layer 2/21...
[2025-12-23 15:23:44,926][src.models.sensitivity][INFO] - Profiling Layer 3/21...
[2025-12-23 15:23:45,371][src.models.sensitivity][INFO] - Profiling Layer 4/21...
[2025-12-23 15:23:45,766][src.models.sensitivity][INFO] - Profiling Layer 5/21...
[2025-12-23 15:23:46,144][src.models.sensitivity][INFO] - Profiling Layer 6/21...
[2025-12-23 15:23:46,537][src.models.sensitivity][INFO] - Profiling Layer 7/21...
[2025-12-23 15:23:46,925][src.models.sensitivity][INFO] - Profiling Layer 8/21...
[2025-12-23 15:23:47,310][src.models.sensitivity][INFO] - Profiling Layer 9/21...
[2025-12-23 15:23:47,687][src.models.sensitivity][INFO] - Profiling Layer 10/21...
[2025-12-23 15:23:48,081][src.models.sensitivity][INFO] - Profiling Layer 11/21...
[2025-12-23 15:23:48,484][src.models.sensitivity][INFO] - Profiling Layer 12/21...
[2025-12-23 15:23:48,866][src.models.sensitivity][INFO] - Profiling Layer 13/21...
[2025-12-23 15:23:49,268][src.models.sensitivity][INFO] - Profiling Layer 14/21...
[2025-12-23 15:23:49,660][src.models.sensitivity][INFO] - Profiling Layer 15/21...
[2025-12-23 15:23:50,045][src.models.sensitivity][INFO] - Profiling Layer 16/21...
[2025-12-23 15:23:50,424][src.models.sensitivity][INFO] - Profiling Layer 17/21...
[2025-12-23 15:23:50,815][src.models.sensitivity][INFO] - Profiling Layer 18/21...
[2025-12-23 15:23:51,203][src.models.sensitivity][INFO] - Profiling Layer 19/21...
[2025-12-23 15:23:51,597][src.models.sensitivity][INFO] - Profiling Layer 20/21...
[2025-12-23 15:23:51,989][src.models.sensitivity][INFO] - Profiling Layer 21/21...
[2025-12-23 15:23:52,375][__main__][INFO] - Profile saved to ./data/profiles/tinyllama_sensitivity.json
[2025-12-23 15:23:52,375][__main__][INFO] - 
--- Sanity Check: Layer 0 ---
[2025-12-23 15:23:52,375][__main__][INFO] - SUCCESS: 2-bit degrades model more than 8-bit, as expected
